,MSFT,GOOGL,JPM,ODFL,ALB,GILD,JNJ,CAT,V,NEE
,close,close,close,close,close,close,close,close,close,close
date,,,,,,,,,,
2019-04-08,119.93,1208.28,105.65,101.79,86.94,67.38,136.14,139.82,157.75,188.64
2019-04-09,119.28,1202.69,104.87,100.43,84.78,66.09,135.57,136.35,157.49,189.71
2019-04-10,120.19,1206.45,105.34,100.21,85.55,67.4,135.58,137.53,158.56,188.62
2019-04-11,120.33,1209.59,106.23,102.19,82.71,66.31,135.21,138.87,157.86,190.04
2019-04-12,120.95,1222.73,111.21,102.49,83.66,65.28,135.98,141.2,159.64,190.85
2019-04-15,121.05,1226.53,109.94,101.65,82.26,65.43,136.52,140.25,160.44,191.16
2019-04-16,120.77,1231.91,111.1,103.22,83.21,64.54,138.02,142.03,160.23,189.52
2019-04-17,121.77,1240.14,114.3,104.72,82.1,63.25,138.52,142.74,160.44,189.65
2019-04-18,123.37,1241.47,113.46,103.49,82.57,62.95,137.52,143.36,160.16,189.36
2019-04-22,123.76,1253.76,113.6,103.91,82.17,61.87,137.83,142.38,160.4,190.38
2019-04-23,125.44,1270.59,113.74,103.21,79.05,63.04,139.9,142.03,161.66,189.79
2019-04-24,125.01,1260.05,113.55,105.96,76.8,62.8,139.2,137.73,161.49,190.06
2019-04-25,129.15,1267.34,113.61,101.5,74.87,64.14,139.65,136.13,161.02,190.48
2019-04-26,129.89,1277.42,114.47,102.58,75.56,65.15,140.39,139.03,162.93,191.71
2019-04-29,129.77,1296.2,116.12,99.86,75.71,64.92,139.84,139.02,164.15,191.77
2019-04-30,130.6,1198.96,116.05,99.52,75.06,65.04,141.2,139.42,164.43,194.44
2019-05-01,127.88,1173.32,115.16,99.31,74.07,64.87,141.95,138.15,162.79,193.27
2019-05-02,126.21,1166.51,115.41,100.03,76.09,65.3,141.28,135.17,161.12,191.72
2019-05-03,128.9,1189.55,116.12,102.19,77.05,67.13,142.01,139.06,162.04,192.41
